WKT,osm_id,name,access,addr.city,addr.city.en,addr.city.simc,addr.country,addr.floor,addr.housename,addr.housenumber,addr.postcode,addr.street,addr.suburb,air_conditioning,amenity,atm,barrier,board_type,brand,brand.wikidata,brand.wikipedia,cash_in,check_date,check_date.diet.gluten_free,check_date.opening_hours,covered,currency.PLN,diet.gluten_free,door,email,entrance,fee,fee.conditional,information,internet_access,level,material,name.be,name.en,name.ja,name.pl,name.ru,network,opening_hours,operator,operator.wikidata,organic,parking,payment.blik,payment.cash,payment.contactless,payment.credit_cards,payment.debit_cards,payment.diners_club,payment.maestro,payment.mastercard,payment.sodexo,payment.v_pay,payment.visa,payment.visa_debit,payment.visa_electron,pets_allowed,phone,ref,roof.levels,shop,source,source.addr,source.note,start_date,stroller,toilets.wheelchair,tourism,website,wheelchair,wheelchair.description,wikipedia,nazwa_dzie,supermarket
"POINT (20.9850906 52.260129)","2069925642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Żoliborz,Biedronka
"POINT (20.9852695 52.2598519)","2069925686",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Żoliborz,Biedronka
"POINT (20.9722365 52.2585686)","3690576692",Biedronka,,Warszawa,,,,,,"19",01-793,Ludwika Rydygiera,,,,,,,Biedronka,Q857182,pl:Biedronka (sieć handlowa),,,,,,,,,bok@biedronka.eu,,,,,,,,,,,,Бедронка,,Mo-Su 06:00-22:00,Jeronimo Martins Polska S.A.,,,,,,,,,,,,,,,,,,,,,supermarket,,,,,,,,https://www.biedronka.pl,,,,Żoliborz,Biedronka
"POINT (20.9847014 52.2600338)","3838797662",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Żoliborz,Biedronka
"POINT (20.9845924 52.259984)","5329685546",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Żoliborz,Biedronka
"POINT (20.9847017 52.2598142)","5329685547",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Żoliborz,Biedronka
"POINT (20.9849215 52.2598371)","8569668259",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Żoliborz,Biedronka
"POINT (20.9845794 52.2600029)","9520352764",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Żoliborz,Biedronka
"POINT (20.9852463 52.2598879)","9520352767",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Żoliborz,Biedronka
"POINT (20.9847207 52.2600387)","9520352785",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Żoliborz,Biedronka
