WKT,osm_id,name,access,addr.city,addr.city.simc,addr.housename,addr.housenumber,addr.postcode,addr.street,amenity,brand,brand.wikidata,brand.wikipedia,check_date,check_date.opening_hours,construction.shop,description,door,entrance,level,name.ru,opening_hours,operator,parking,shop,source,source.addr,source.position,toilets.wheelchair,website,wheelchair,nazwa_dzie,supermarket
"POINT (20.9793484 52.2600102)","11299498900",Lidl,,,,,,,,,Lidl,,,,,,,,,,,"Mo-Sa 06:00-23:00; Su 08:00-21:00",,,supermarket,,,,,https://www.lidl.pl/,,Żoliborz,Lidl
"POINT (21.0984567 52.2422615)","775618311",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Lidl
"POINT (21.09937 52.2421144)","775618313",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Lidl
"POINT (21.09945 52.2420972)","775618323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Lidl
"POINT (21.0840051 52.2297983)","3520475511",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Lidl
"POINT (21.084253 52.229869)","3520475512",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Lidl
"POINT (21.0842659 52.2298611)","3520475513",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Lidl
"POINT (21.0843312 52.2298945)","3520475514",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Lidl
"POINT (21.0842753 52.229936)","3520475515",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Lidl
"POINT (21.0845568 52.2301449)","3520475516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Lidl
"POINT (21.0844247 52.2302559)","3520475517",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Lidl
"POINT (21.0838067 52.2299452)","3520475518",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Lidl
"POINT (21.0844706 52.2302219)","3520475519",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Lidl
"POINT (21.0845587 52.2301458)","5284091673",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Lidl
"POINT (21.0846108 52.2301069)","5284091674",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Lidl
"POINT (21.0922192 52.2347824)","6540218794",,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,Praga-Południe,Lidl
"POINT (21.1125775 52.2335538)","6734310594",Lidl,,,,,"1",,Marii Rodziewiczówny,,Lidl,Q151954,en:Lidl,,,,,,,,ЛИДЛ,"Mo-Sa 07:00-22:00; Su 08:00-21:00",,,supermarket,,,,,,,Praga-Południe,Lidl
"POINT (21.0922938 52.2347742)","7108908719",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Lidl
"POINT (21.0922122 52.2344943)","7108908720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Lidl
"POINT (21.0912745 52.234607)","7108908721",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Lidl
"POINT (21.0913394 52.2348296)","7108908722",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Lidl
"POINT (21.091357 52.234598)","7147504192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Lidl
"POINT (21.0913536 52.2345864)","7147504193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Lidl
