WKT,osm_id,name,access,access.conditional,addr.city,addr.city.simc,addr.country,addr.door,addr.housename,addr.housenumber,addr.postcode,addr.street,amenity,artwork_subject,artwork_type,barrier,bicycle,board_type,camera.mount,check_date,contact.email,contact.facebook,contact.fax,contact.phone,contact.website,defibrillator.location,defibrillator.location.en,denomination,description,door,ele,ele.msl,ele.source,email,emergency,entrance,fax,fixme,foot,grades,height,highway,historic,horse,image,indoor,information,isced.level,lamp_mount,level,loc_name,locked,man_made,material,maxwidth.physical,memorial,min_age,mobile,motor_vehicle,motorcar,motorcycle,name.en,name.etymology.wikidata,name.pl,note,note.access,official_name,old_name,opening_hours,operator,operator.en,operator.pl,operator.type,operator.website,operator.wikidata,outdoor,parking,phone,ref.regon,ref.rspo,ref.vatin,religion,short_name,source,source.addr,support,surveillance.type,tourism,website,wheelchair,wikidata,wikimedia_commons,wikipedia,nazwa_dzie,cluster
"POINT (20.9763212 52.2742302)","1804988336",Szkoła Podstawowa Specjalna nr 155,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,edarka@edu.um.warszawa.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,Parent RSPO: 14783,,Szkoła Podstawowa Specjalna nr 155,,,Miasto Stołeczne Warszawa,,,government,,,,,+48 228332205,"000967512","105332",,,,,,,,,https://www.sosw9.waw.pl/,,,,,Żoliborz,1
"POINT (20.976889 52.2658654)","3619853800",Publiczna Szkoła Podstawowa Sióstr Zmartwychwstanek,,,,,,,,,,,school,,,,,,,2025-01-06,,,,,,,,,,,,,,szkola@szarotka.edu.pl,,,,,,"1-8,9-12",,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Publiczna Szkoła Podstawowa Sióstr Zmartwychwstanek im. Bł. S.alicji Kotowskiej,,,"Zg.ss.zmartwychwstania Pańskiego,Prowincja Warszawska",,,religious,,,,,+48 226638777,"380077650","267304",,,,,,,,,http://www.szarotka.edu.pl,,,,,Żoliborz,2
"POINT (20.9625368 52.2590162)","10237685988","Szkoła Podstawowa ""Szkoła w Chmurze""",,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,kontakt@szkolawchmurze.org,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,"Szkoła Podstawowa ""Szkoła w Chmurze""",,,Szkoła W Chmurze Spółka Z Ograniczoną Odpowiedzialnością,,,private,,,,,+48 605035629,"365337538","131706",,,,,,,,,,,,,,Żoliborz,3
"POINT (21.0679836 52.2255044)","7813600063","""Wonderful Years School"" Prywatna Szkoła Podstawowa",,,,,,,,,,,school,,,,,,,,,,,,,,,,Prywatna szkoła podstawowa,,,,,edukacjawys@op.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,"""Wonderful Years School"" Prywatna Szkoła Podstawowa",,,Anna Künstle,,,private,,,,,+48 226720807,"146407620","80253",,,,,,,,,http://www.wonderfulyearsschool.pl,,,,,Praga-Południe,4
"POINT (21.087391 52.2274545)","8925793381",Szkoła Podstawowa nr 375,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,sp375@edu.um.warszawa.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Szkoła Podstawowa nr 375 im. Orląt Lwowskich,,,Praga-Południe,,,government,,,,,+48 226710842,"367999108","262234",,,,,,,,,http://sp375.edupage.org,,,,,Praga-Południe,5
"POINT (21.055998 52.2479764)","9628291666",Szkoła Podstawowa nr 224 dla Dorosłych,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,cku5@edu.um.warszawa.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,Parent RSPO: 115158,,Szkoła Podstawowa nr 224 dla Dorosłych,,,Praga-Południe,,,government,,,,,+48 228187021,"015807515","122233",PL1132501840,,,,,,,,https://www.cku.waw.pl/,,,,,Praga-Południe,6
"POINT (21.0598829 52.248898)","9629109855",Korczak. Szkoła Podstawowa Montessori,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,info@spkorczak.edu.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Korczak. Szkoła Podstawowa Montessori,,,Laboratorium Montessori Spółka Z Ograniczoną Odpowiedzialnością,,,private,,,,,,"368111734","263162",,,,,,,,,https://spkorczak.edu.pl/,,,,,Praga-Południe,7
"POINT (21.0625064 52.2346432)","9629329516",Szkoła Podstawowa Specjalna nr 282,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,dyrektor@nieklanska.edu.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Szkoła Podstawowa Specjalna nr 282 w Samodzielnym Zespole Publicznych Zakładów Opieki Zdrowotnej im. Prof. Dr. Jana Bogdanowicza,,,Miasto Stołeczne Warszawa,,,government,,,,,+48 225098256,"017295002","106320",,,,,,,,,http://nieklanska.edu.pl,,,,,Praga-Południe,8
"POINT (21.093855 52.2465112)","9631543569",Szkoła Podstawowa Specjalna nr 348,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,mos7@mos7.edu.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,Parent RSPO: 14297,,Szkoła Podstawowa Specjalna nr 348 w Młodzieżowym Ośrodku Socjoterapii nr 7,,,Miasto Stołeczne Warszawa,,,government,,,,,+48 225169820,"141102228","105299",,,,,,,,,https://www.mos7.edu.pl/,,,,,Praga-Południe,9
"POINT (21.0970728 52.2446201)","9631896981",Szkoła Podstawowa Specjalna nr 5,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,zs90@edu.um.warszawa.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,Parent RSPO: 12658,,Szkoła Podstawowa Specjalna nr 5,,,Miasto Stołeczne Warszawa,,,government,,,,,+48 226103421,"016434826","105410",,,,,,,,,http://www.zss90.pl,,,,,Praga-Południe,10
"POINT (21.0399605 52.2048649)","1091775826",Szkoła Podstawowa nr 260 im. Jana Matejki,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,sp260@edu.um.warszawa.pl,,,+48 22 8411815,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Szkoła Podstawowa nr 260 im. Jana Matejki,,,Mokotów,,,government,,Q1634585,,,+48 228416097,"000801929","60285",PL5211552644,,,,,,,,https://www.sp260.waw.pl/,,,,,Mokotów,11
"POINT (21.0557102 52.1849713)","1505791035",Szkoła Podstawowa nr 371 im. Sandro Pertiniego,,,Warszawa,,,,,"68",,Jana III Sobieskiego,school,,,,,,,,,,,,,,,,,,,,,zs59@edu.um.warszawa.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,Parent RSPO: 24341,,Szkoła Podstawowa nr 371 im. Sandro Pertiniego,,,Mokotów,,,government,,,,,+48 228424792,"367334716","133455",,,,,,,,,https://www.zs59.waw.pl/,,,,,Mokotów,12
"POINT (21.0191987 52.1996656)","1631772391",Szkoła Podstawowa nr 2 Przymierza Rodzin im. Księdza Jana Twardowskiego,,,Warszawa,,,,Szkoła Pdstawowa nr 2,"14",02-601,Racławicka,school,,,,,,,2025-09-07,,,,,,,,,,,,,,sp2pr@spr.edu.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Szkoła Podstawowa nr 2 Przymierza Rodzin im. Ks. Jana Twardowskiego,,,"Stowarzyszenie ""Przymierze Rodzin""",,,ngo,,,,,+48 228451742,"146474213","52986",PL5261649699,,,,,,,,https://spr.edu.pl/,,,,,Mokotów,13
"POINT (21.031695 52.1724084)","1969474139",Szkoła Podstawowa Niepubliczna nr 49,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,szkola@varsovia.edu.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Szkoła Podstawowa Niepubliczna nr 49,,,"Fundacja Edukacyjna ""Varsovia""",,,ngo,,,,,+48 222189307,"146346171","29946",,,,,,,,,https://www.varsovia.edu.pl/,,,,,Mokotów,14
"POINT (21.0394438 52.1961443)","2845293865",Szkoła Podstawowa Specjalna Nr 302 w Ośrodku Terapii Dziecka w Środowisku,,,Warszawa,,,,,"93",,Jana III Sobieskiego,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mokotów,15
"POINT (21.0467514 52.2108998)","7816030400",Szkoła Podstawowa Sióstr Nazaretanek z Oddziałami Dwujęzycznymi,,,Warszawa,,,,,"137",00-720,Czerniakowska,school,,,,,,,,,,,,,,,,,,,,,szkola@nazaretanki.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Szkoła Podstawowa Sióstr Nazaretanek z Oddziałami Dwujęzycznymi,,,"Zg.ss.najświętszej Rodziny Z Nazaretu, Prowincja Warszawska",,,religious,,,,,+48 228413854,"368100021","263079",,,,,,,,,https://nazaretanki.edu.pl/,,,,,Mokotów,16
